#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE
,MAR03905,,ethanol[c] + NAD+[c] => acetaldehyde[c] + H+[c] + NADH[c],1.1.1.1;1.1.1.71,Adh1 or Adh4 or Adh5 or Adh6b or Adh7 or Adhfe1 or Zadh2,,,,,,Glycolysis / Gluconeogenesis,,,PMID:10868354;PMID:12491384;PMID:12818203;PMID:14674758;PMID:15289102;PMID:15299346;PMID:15327949;PMID:15682493;PMID:15713978,0
,MAR04396,,glucose-1-phosphate[c] <=> glucose-6-phosphate[c],5.4.2.2;5.4.2.5;5.4.2.6;5.2.2.2,Pgm1 or Pgm2 or Pgm5,,,,,,Glycolysis / Gluconeogenesis,,,PMID:600270,0
,MAR04521,,glucose-6-phosphate[r] + H2O[r] => glucose[r] + Pi[r],3.1.3.9,G6pc or G6pc2 or G6pc3,,,,,,Glycolysis / Gluconeogenesis,,,PMID:12101013;PMID:12485600;PMID:1662952;PMID:6291517;PMID:6321405;PMID:6935637,0
,MAR06410,,H+[m] + lipoamide[m] + pyruvate[m] => CO2[m] + S-acetyldihydrolipoamide[m],1.2.4.1,(Pdha1 and Pdhb) or (Pdha2 and Pdhb),,,,,,Glycolysis / Gluconeogenesis,,,PMID:18032470;PMID:2323578;PMID:2748588,0
,MAR06412,,CoA[m] + S-acetyldihydrolipoamide[m] => acetyl-CoA[m] + dihydrolipoamide[m],2.3.1.12,(Dlat and Dld and Pdha1 and Pdhb) or (Dlat and Dld and Pdha2 and Pdhb),,,,,,Glycolysis / Gluconeogenesis,,,PMID:12108679;PMID:14741190,0
,MAR07745,,beta-D-glucose[c] <=> glucose[c],5.1.3.3,Galm,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR07746,,ATP[c] + beta-D-glucose[c] => ADP[c] + beta-D-glucose-6-phosphate[c] + H+[c],2.7.1.1;2.7.1.2,Gck or Hk1 or Hk2 or Hk3 or Hkdc1,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR07747,,ADP[c] + beta-D-glucose[c] => AMP[c] + beta-D-glucose-6-phosphate[c] + H+[c],2.7.1.147,Adpgk,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR07748,,beta-D-glucose-6-phosphate[c] <=> glucose-6-phosphate[c],5.3.1.9,Gpi1,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR07749,,beta-D-glucose-6-phosphate[c] <=> fructose-6-phosphate[c],5.3.1.9,Gpi1,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR08360,,ethanol[p] + H2O2[p] => acetaldehyde[p] + 2 H2O[p],1.11.1.6,Cat,,,,,,Glycolysis / Gluconeogenesis,,,,0
,MAR03989,,H2O[s] + maltose[s] => 2 glucose[s],3.2.1.20,Capn3 or Gaa or Ganc or Mgam,,,,,,Starch and sucrose metabolism,,,PMID:1885588;PMID:2141837;PMID:3128290;PMID:6362728;PMID:7358666,0
,MAR04122,,H2O[c] + 2 NAD+[c] + UDP-glucose[c] => 3 H+[c] + 2 NADH[c] + UDP-glucuronate[c],1.1.1.22,Ugdh,,,,,,Starch and sucrose metabolism,,,PMID:9737970;PMID:9850599,0
,MAR04837,,H2O[s] + trehalose[s] => 2 glucose[s],3.2.1.28,Pgghg or Treh,,,,,,Starch and sucrose metabolism,,,PMID:5125320;PMID:8222277;PMID:8773341;PMID:9427547,0
,MAR05395,,glycogenin[c] + 8 UDP-glucose[c] => glycogenin G8[c] + 8 H+[c] + 8 UDP[c],2.4.1.186,Gyg,,,,,,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
,MAR05396,,glycogenin G8[c] + 3 UDP-glucose[c] => glycogenin G11[c] + 3 H+[c] + 3 UDP[c],2.4.1.11,Gyg or Gys1 or Gys2,,,,,,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
,MAR09727,,UDP-glucose[c] => H+[c] + UDP[c] + glycogen[c],2.4.1.11,Gys1 or Gys2 or Ppp1r3b or Ppp1r3c,,,,,,Starch and sucrose metabolism,,,,0
,MAR05397,,glycogenin G11[c] => glycogenin G4G7[c],2.4.1.18,Gbe1,,,,,,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
,MAR05398,,glycogenin G4G7[c] + 3 Pi[c] => 3 glucose-1-phosphate[c] + glycogenin G4G4[c],2.4.1.1,Pygb or Pygl or Pygm,,,,,,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
,MAR05399,,glycogenin G4G4[c] => glycogenin G7G1[c],2.4.1.25,Agl,,,,,,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
,MAR05400,,glycogenin G7G1[c] + H2O[c] => glucose[c] + glycogenin G7[c],3.2.1.33,Agl,,,,,,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
,MAR05401,,glycogenin G7[c] + 7 Pi[c] => 7 glucose-1-phosphate[c] + glycogenin[c],2.4.1.1,Pygb or Pygl or Pygm,,,,,,Starch and sucrose metabolism,,,PMID:12133002;PMID:4475632;PMID:5810070,0
,MAR08578,,H2O[c] + maltotetraose[c] => fructose[c] + maltotriose[c],3.2.1.1,Amy1 or Amy2a5 or Lyzl1,,,,,,Starch and sucrose metabolism,,,,0
,MAR08592,,H2O[l] + maltotriose[l] => glucose[l] + maltose[l],3.2.1.20,Gaa,,,,,,Starch and sucrose metabolism,,,,0
,MAR08589,,H2O[l] + maltose[l] => 2 glucose[l],3.2.1.20,Gaa,,,,,,Starch and sucrose metabolism,,,,0
,MAR03944,,glucose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-glucose[c],2.7.7.9,Ugp2,,,,,,Galactose metabolism,,,PMID:223665;PMID:4433565;PMID:4436332;PMID:6318818;PMID:6320876;PMID:8612650,0
,MAR04130,,ATP[c] + galactose[c] => ADP[c] + alpha-D-galactose-1-phosphate[c] + H+[c],2.7.1.6,Galk1 or Galk2,,,,,,Galactose metabolism,,,,0
,MAR04131,,glucose-1-phosphate[c] + UDP-galactose[c] <=> alpha-D-galactose-1-phosphate[c] + UDP-glucose[c],2.7.7.12,Galt,,,,,,Galactose metabolism,,,,0
,MAR04132,,galactose-1-phosphate[c] + UDP-glucose[c] => glucose-1-phosphate[c] + UDP-galactose[c],2.7.7.12,Galt,,,,,,Galactose metabolism,,,PMID:10993714,0
,MAR04303,,H2O[s] + sucrose[s] => fructose[s] + glucose[s],3.2.1.10;3.2.1.20;3.2.1.48,Gaa or Ganc or Mgam or Sis,,,,,,Galactose metabolism,,,PMID:12055199,0
,MAR04414,,ATP[c] + galactose[c] => ADP[c] + galactose-1-phosphate[c] + H+[c],2.7.1.6,Fam227b or Galk1 or Galk2,,,,,,Galactose metabolism,,,PMID:8908517,0
,MAR04415,,H2O[s] + lactose[s] => galactose[s] + glucose[s],3.2.1.23;3.2.1.108,Glb1 and Glb1l and Lct and Tmppe,,,,,,Galactose metabolism,,,PMID:6786877,0
,MAR04416,,galactosylglycerol[s] + H2O[s] => galactose[s] + glycerol[s],3.2.1.22;3.2.1.23,Gla or Glb1 or Rpl36al,,,,,,Galactose metabolism,,,PMID:3569296,0
,MAR04774,,"CDP[c] + H+[c] + tagatose-1,6-bisphosphate[c] <=> CTP[c] + D-tagatose-6-phosphate[c]",2.7.1.11,Pfkl or Pfkm or Pfkp,,,,,,Galactose metabolism,,,PMID:131802;PMID:1810251;PMID:193556;PMID:2987258;PMID:6091737,0
,MAR04775,,"D-tagatose-6-phosphate[c] + ITP[c] <=> H+[c] + IDP[c] + tagatose-1,6-bisphosphate[c]",2.7.1.11,Pfkl or Pfkm or Pfkp,,,,,,Galactose metabolism,,,PMID:131802;PMID:1810251,0
,MAR04832,,3-keto-beta-D-galactose[s] + glucose[s] <=> 3-ketolactose[s] + H2O[s],3.2.1.23,Glb1 and Glb1l and Lct and Tmppe,,,,,,Galactose metabolism,,,PMID:3109378,0
,MAR08761,,ATP[c] + D-tagatose[c] => ADP[c] + D-tagatose-6-phosphate[c] + H+[c],2.7.1.3,Khk,,,,,,Galactose metabolism,,,,0
,MAR08762,,D-tagatose-6-phosphate[c] <=> DHAP[c] + glyceraldehyde[c],4.1.2.13,Aldoa or Aldob or Aldoc,,,,,,Galactose metabolism,,,,0
,MAR08766,,galactose[c] + H+[c] + NADPH[c] <=> galactitol[c] + NADP+[c],1.1.1.21,Akr1b3 or Akr1b8,,,,,,Galactose metabolism,,,,0
,MAR08767,,alpha-D-galactose-1-phosphate[c] + H+[c] + UTP[c] => PPi[c] + UDP-galactose[c],2.7.7.12,Galt,,,,,,Galactose metabolism,,,,0
,MAR04297,,"ATP[c] + fructose-6-phosphate[c] => ADP[c] + fructose-2,6-bisphosphate[c] + H+[c]",2.7.1.105,Pfkfb1 or Pfkfb2 or Pfkfb3 or Pfkfb4,,,,,,Fructose and mannose metabolism,,,PMID:7506254;PMID:7688733,0
,MAR04315,,D-glucitol[c] + NAD+[c] <=> fructose[c] + H+[c] + NADH[c],1.1.1.14,Sord,,,,,,Fructose and mannose metabolism,,,,0
,MAR04316,,D-glucitol[c] + NADP+[c] <=> glucose[c] + H+[c] + NADPH[c],1.1.1.21,Akr1b3 or Akr1b8,,,,,,Fructose and mannose metabolism,,,,0
,MAR04319,,ATP[c] + fructose[c] => ADP[c] + fructose-6-phosphate[c] + H+[c],2.7.1.1,Hk1 or Hk2 or Hk3 or Hkdc1,,,,,,Fructose and mannose metabolism,,,PMID:16906315;PMID:7061426;PMID:7150652;PMID:8717435,0
,MAR04385,,mannose-6-phosphate[c] => mannose-1-phosphate[c],5.4.2.8,Pmm1 or Pmm2 or Polr3h,,,,,,Fructose and mannose metabolism,,,PMID:10593562;PMID:12889654;PMID:15361947,0
,MAR04386,,GDP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + Pi[c],2.7.7.22;2.7.7.13,Amigo3 or Gmppa or Gmppb or Rnf123,,,,,,Fructose and mannose metabolism,,,PMID:13876695,0
,MAR04387,,GTP[c] + H+[c] + mannose-1-phosphate[c] => GDP-mannose[c] + PPi[c],2.7.7.13,Amigo3 or Gmppa or Gmppb,,,,,,Fructose and mannose metabolism,,,PMID:10025667;PMID:8549746;PMID:9451026,0
,MAR04399,,GDP-mannose[c] => GDP-4-dehydro-6-deoxy-D-mannose[c] + H2O[c],4.2.1.47,Gmds,,,,,,Fructose and mannose metabolism,,,PMID:9893952,0
,MAR04400,,GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADH[c] => GDP-L-fucose[c] + NAD+[c],1.1.1.271,Gfus,,,,,,Fructose and mannose metabolism,,,PMID:10410995;PMID:2428310;PMID:9603974,0
,MAR04401,,GDP-L-fucose[c] + PPi[c] <=> GTP[c] + H+[c] + L-fucose-1-phosphate[c],2.7.7.30,Fpgt or Tnni3k,,,,,,Fructose and mannose metabolism,,,PMID:5646162;PMID:6251080,0
,MAR04402,,6-deoxy-L-galactose[c] + ATP[c] <=> ADP[c] + H+[c] + L-fucose-1-phosphate[c],2.7.1.52,Fcsk,,,,,,Fructose and mannose metabolism,,,PMID:12056818;PMID:12413479,0
,MAR04490,,ATP[c] + mannose[c] => ADP[c] + H+[c] + mannose-6-phosphate[c],2.7.1.1,Hk1 or Hk2 or Hk3 or Hkdc1,,,,,,Fructose and mannose metabolism,,,PMID:16906315;PMID:7061426;PMID:7150652;PMID:8717435,0
,MAR04706,,"fructose-2,6-bisphosphate[c] + H2O[c] => fructose-6-phosphate[c] + Pi[c]",3.1.3.46;3.1.3.11,Dlx4 or Pfkfb1 or Pfkfb2 or Pfkfb3 or Pfkfb4 or Tigar,,,,,,Fructose and mannose metabolism,,,PMID:11245921;PMID:12379646;PMID:15170386;PMID:15581487;PMID:16316985;PMID:2837207,0
,MAR08768,,GDP-4-dehydro-6-deoxy-D-mannose[c] + H+[c] + NADPH[c] => GDP-L-fucose[c] + NADP+[c],1.1.1.271,Gfus,,,,,,Fructose and mannose metabolism,,,,0
,MAR04590,,H+[c] + L-xylulose[c] + NADPH[c] => NADP+[c] + xylitol[c],1.1.1.10,Dcxr,,,,,,Pentose and glucuronate interconversions,,,PMID:28341;PMID:4397414;PMID:6821187,0
,MAR04591,,NAD+[c] + xylitol[c] => H+[c] + L-xylulose[c] + NADH[c],1.1.1.15,Mecr or Pecr,,,,,,Pentose and glucuronate interconversions,,,PMID:13373783,0
,MAR04592,,D-xylose[c] + H+[c] + NADPH[c] <=> NADP+[c] + xylitol[c],1.1.1.21,Akr1b3 or Akr1b8,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR04593,,NAD+[c] + xylitol[c] => D-xylulose[c] + H+[c] + NADH[c],1.1.1.9,Sord,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR08341,,H+[c] + L-arabinose[c] + NADPH[c] => L-arabitol[c] + NADP+[c],1.1.1.21;1.1.1.2,Akr1a1 or Akr1b3 or Akr7a5,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR08342,,H+[c] + L-xylulose[c] + NADH[c] <=> L-arabitol[c] + NAD+[c],,,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR08344,,glucuronate[r] + H+[r] + NADPH[r] <=> L-gulonate[r] + NADP+[r],,Akr1a1,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR08352,,3-dehydro-L-gulonate[c] + H+[c] + NADH[c] <=> L-gulonate[c] + NAD+[c],,Cryl1,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR08726,,ATP[c] + D-ribulose[c] => ADP[c] + H+[c] + ribulose-5-phosphate[c],,Rbks,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR08727,,H2O[c] + UDP-glucuronate[c] => D-glucuronate 1-phosphate[c] + 2 H+[c] + UMP[c],2.4.1.117,Alg5,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR08729,,H2O[c] + UDP-glucuronate[c] => glucuronate[c] + H+[c] + UDP[c],4.1.1.35,Uxs1,,,,,,Pentose and glucuronate interconversions,,,,0
,MAR06537,,glucuronate[c] + H+[c] + NADPH[c] <=> L-gulonate[c] + NADP+[c],1.1.1.2,Akr1a1,,,,,,Pentose and glucuronate interconversions,,,PMID:1748675,0
,MAR01568,,acetaldehyde[c] + H2O[c] + NAD+[c] => acetate[c] + 2 H+[c] + NADH[c],1.2.1.4;1.2.1.5,Aldh1a3 or Aldh3a1 or Aldh3b1 or Aldh3b2,,,,,,Pyruvate metabolism,,,PMID:11790142;PMID:2060039;PMID:2549038;PMID:4387261;PMID:8155713;PMID:8328987,0
,MAR03853,,GSH[c] + methylglyoxal[c] => (R)-S-lactoylglutathione[c],4.4.1.5,Glo1 or Glod4,,,,,,Pyruvate metabolism,,,,0
,MAR03854,,H+[c] + methylglyoxal[c] + NADH[c] => lactaldehyde[c] + NAD+[c],1.1.1.21,Akr1b3 or Akr1b8,,,,,,Pyruvate metabolism,,,,0
,MAR03855,,"H+[c] + lactaldehyde[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]",1.1.1.21,Akr1b3 or Akr1b8,,,,,,Pyruvate metabolism,,,,0
,MAR03857,,(R)-S-lactoylglutathione[c] + H2O[c] => D-lactate[c] + GSH[c] + H+[c],3.1.2.6,Hagh or Haghl,,,,,,Pyruvate metabolism,,,,0
,MAR03859,,D-lactate[c] + 2 ferricytochrome C[m] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c],1.1.2.4,Cyb5d1 or Ldhd,,,,,,Pyruvate metabolism,,,,0
,MAR04087,,malate[m] + NAD+[m] => CO2[m] + NADH[m] + pyruvate[m],1.1.1.38;1.1.1.39,Me2 or Me3,,,,,,Pyruvate metabolism,,,PMID:15989682;PMID:16171388;PMID:4407365;PMID:4778267;PMID:7757881;PMID:8106447,0
,MAR04091,,malate[m] + NADP+[m] => CO2[m] + NADPH[m] + pyruvate[m],1.1.1.38;1.1.1.40,Me2 or Me3,,,,,,Pyruvate metabolism,,,PMID:15989682;PMID:16171388;PMID:1935931;PMID:4407365;PMID:4778267;PMID:7757881;PMID:8106447,0
,MAR04103,,GTP[m] + OAA[m] => CO2[m] + GDP[m] + PEP[m],4.1.1.32,Pck2,,,,,,Pyruvate metabolism,,,PMID:11851336;PMID:14505680;PMID:728402;PMID:8325643;PMID:8645161,0
,MAR04193,,CDP[c] + H+[c] + PEP[c] => CTP[c] + pyruvate[c],2.7.1.40,Pklr or Pkm,,,,,,Pyruvate metabolism,,,PMID:1009117;PMID:7154942,0
,MAR08497,,H+[c] + methylglyoxal[c] + NADPH[c] => hydroxyacetone[c] + NADP+[c],1.1.1.21;1.1.1.2,Akr1a1 or Akr1b3 or Akr7a5,,,,,,Pyruvate metabolism,,,,0
,MAR08500,,"H+[c] + hydroxyacetone[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]",1.1.1.21;1.1.1.2,Akr1a1 or Akr1b3 or Akr7a5,,,,,,Pyruvate metabolism,,,,0
,MAR08502,,(R)-S-lactoylglutathione[c] + H+[c] + NADH[c] <=> D-lactaldehyde[c] + GSH[c] + NAD+[c],1.1.1.1,Adh1 or Adh4 or Adh5 or Adh6b or Adh7 or Adhfe1,,,,,,Pyruvate metabolism,,,,0
,MAR08503,,H2O[c] + lactaldehyde[c] + NAD+[c] => 2 H+[c] + L-lactate[c] + NADH[c],1.2.1.4;1.2.1.5,Aldh1a3 or Aldh3a1 or Aldh3a2 or Aldh3b1 or Aldh3b2 or Aldh7a1 or Aldh9a1,,,,,,Pyruvate metabolism,,,,0
,MAR08504,,D-lactaldehyde[c] + H2O[c] + NAD+[c] => D-lactate[c] + 2 H+[c] + NADH[c],1.2.1.3,Aldh1b1 or Aldh2 or Aldh3a2 or Aldh7a1 or Aldh9a1,,,,,,Pyruvate metabolism,,,,0
,MAR08506,,H2O[m] + lactaldehyde[m] + NAD+[m] => 2 H+[m] + L-lactate[m] + NADH[m],1.2.1.3,Aldh1b1 or Aldh2 or Aldh3a2 or Aldh7a1 or Aldh9a1,,,,,,Pyruvate metabolism,,,,0
,MAR08507,,"NAD+[c] + propane-1,2-diol[c] => D-lactaldehyde[c] + H+[c] + NADH[c]",,Adh1 or Adh4 or Adh5 or Adh6b or Adh7 or Adhfe1 or Zadh2,,,,,,Pyruvate metabolism,,,,0
,MAR08508,,"NAD+[c] + propane-1,2-diol[c] => H+[c] + lactaldehyde[c] + NADH[c]",,Adh1 or Adh4 or Adh5 or Adh6b or Adh7 or Adhfe1 or Zadh2,,,,,,Pyruvate metabolism,,,,0
,MAR08509,,"D-lactaldehyde[c] + H+[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]",1.1.1.21;1.1.1.2,Akr1a1 or Akr1b3 or Akr7a5,,,,,,Pyruvate metabolism,,,,0
,MAR08511,,(R)-S-lactoylglutathione[m] + H2O[m] => D-lactate[m] + GSH[m] + H+[m],3.1.2.6,Hagh or Haghl,,,,,,Pyruvate metabolism,,,,0
,MAR08514,,2 ferricytochrome C[m] + L-lactate[c] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c],1.1.2.4,Cyb5d1 or Ldhd,,,,,,Pyruvate metabolism,,,,0
,MAR08516,,DHAP[c] => methylglyoxal[c] + Pi[c],,Auh,,,,,,Pyruvate metabolism,,,,0
,MAR04280,,H+[m] + NADH[m] + pyruvate[m] <=> L-lactate[m] + NAD+[m],1.1.1.27,Ldha or Ldhal6b or Ldhb or Ldhc or Uevld,,,,,,Pyruvate metabolism,,,PMID:12042361;PMID:17045662;PMID:7449128;PMID:9927705;PMID:18253497,0
,MAR00153,,ATP[c] + CoA[c] + propanoate[c] => AMP[c] + PPi[c] + propanoyl-CoA[c],6.2.1.17;6.2.1.1;3.1.2.2,Acss1 or Acss2 or Acss3,,,,,,Propanoate metabolism,,,PMID:11013297;PMID:11013297;PMID:10843999;PMID:11150295;PMID:1924964;PMID:2009071;PMID:7341659,0
,MAR03212,,FAD[m] + propanoyl-CoA[m] => acrylyl-CoA[m] + FADH2[m],1.3.99.3,Acad10 or Acad11 or Acad8 or Acad9 or Acadm or Acads or Acadsb,,,,,,Propanoate metabolism,,,,0
,MAR03797,,AMP[m] + PPi[m] + propanoyl-CoA[m] <=> ATP[m] + CoA[m] + propanoate[m],6.2.1.17,Acss1 or Acss2 or Acss3,,,,,,Propanoate metabolism,,,PMID:10843999;PMID:11150295;PMID:1924964;PMID:2009071;PMID:7341659,0
,MAR03800,,2-oxobutyrate[m] + CoA[m] + NAD+[m] => CO2[m] + NADH[m] + propanoyl-CoA[m],1.2.7.2,Bckdha and Bckdhb and Dbt and Dld,,,,,,Propanoate metabolism,,,PMID:2649080;PMID:283398;PMID:3718468;PMID:9381974,0
