ReactionID,MinFlux,MaxFlux,Compartment
MAR04282,0,0.047104597,Propanoate metabolism
MAR04331,-0.814278696,0,Propanoate metabolism
MAR04459,0,0.814278694,Propanoate metabolism
MAR04460,-1000,1000,Propanoate metabolism
MAR04497,0,0.047104597,Propanoate metabolism
MAR04741,0,0.047104597,Propanoate metabolism
MAR09804,0,0,Propanoate metabolism
MAR01434,-0.04679211,0.415581049,Butanoate metabolism
MAR01436,0,0.415581049,Butanoate metabolism
MAR03163,0,0.065214425,Butanoate metabolism
MAR04604,0,0.58785112,Butanoate metabolism
MAR05351,0,0.01,Butanoate metabolism
MAR04052,0,2.362032738,Pentose phosphate pathway
MAR04304,0,0.199441303,Pentose phosphate pathway
MAR04306,-1.085763542,1000,Pentose phosphate pathway
MAR04350,0,0,Pentose phosphate pathway
MAR04351,0,0,Pentose phosphate pathway
MAR04352,-0.605656436,0.019538667,Pentose phosphate pathway
MAR04354,-0.731085287,2.384689884,Pentose phosphate pathway
MAR04398,-0.01,0.823874113,Pentose phosphate pathway
MAR04404,-0.27023262,0.367231968,Pentose phosphate pathway
MAR04473,0,0.215512785,Pentose phosphate pathway
MAR04474,0,1.092751358,Pentose phosphate pathway
MAR04476,0,0,Pentose phosphate pathway
MAR04477,-1000,1000,Pentose phosphate pathway
MAR04501,-0.27023262,0.3672131,Pentose phosphate pathway
MAR04565,-0.27023262,999.7937524,Pentose phosphate pathway
MAR04567,-1000,1000,Pentose phosphate pathway
MAR04568,-1000,1000,Pentose phosphate pathway
MAR04623,0,0.193035244,Pentose phosphate pathway
MAR04625,0,1.085763542,Pentose phosphate pathway
MAR04710,-0.821136314,0.823865664,Pentose phosphate pathway
MAR04841,0,0,Pentose phosphate pathway
MAR08074,0,0.81428233,Pentose phosphate pathway
MAR08653,-0.033008474,0.015923504,Pentose phosphate pathway
MAR03998,0,0.814278694,Purine metabolism
MAR04000,0,0.814278694,Purine metabolism
MAR04002,-3.610723439,1000,Purine metabolism
MAR04004,-1000,1000,Purine metabolism
MAR04010,0,0.814278694,Purine metabolism
MAR04081,0,0.417139347,Purine metabolism
MAR04082,0,1.628557387,Purine metabolism
MAR04012,0,1000,Purine metabolism
MAR04014,0,0.814289358,Purine metabolism
MAR04020,-1000,-0.00130248,Purine metabolism
MAR04022,0,0.814278904,Purine metabolism
MAR04038,0,0.131287768,Purine metabolism
MAR04040,0,0.815969974,Purine metabolism
MAR04042,0,0.403615812,Purine metabolism
MAR04046,0,0.513352179,Purine metabolism
MAR04048,0,0.814279976,Purine metabolism
MAR04080,0,0.401808985,Purine metabolism
MAR04085,-1.641168188,1000,Purine metabolism
MAR04086,0,0,Purine metabolism
MAR04134,0,0,Purine metabolism
MAR04135,0,1000,Purine metabolism
MAR04168,0,0.814287022,Purine metabolism
MAR04171,0,1000,Purine metabolism
MAR04290,0,0.01,Purine metabolism
MAR04406,0,0.131287768,Purine metabolism
MAR04412,-0.40365886,0,Purine metabolism
MAR04417,0,0.814278694,Purine metabolism
MAR04418,-0.813693997,0.826423969,Purine metabolism
MAR04419,0,0.814278694,Purine metabolism
MAR04421,0,1000,Purine metabolism
MAR04449,0,0.814278694,Purine metabolism
MAR04450,0,0,Purine metabolism
MAR04451,0,1000,Purine metabolism
MAR04452,-1000,0.80192245,Purine metabolism
MAR04453,0,0.815976429,Purine metabolism
MAR04480,-0.830633749,0.814371699,Purine metabolism
MAR04481,0,0.401808985,Purine metabolism
MAR04482,0,0.401808985,Purine metabolism
MAR04486,0,1.663962814,Purine metabolism
MAR04487,0,1.663960726,Purine metabolism
MAR04488,0,1.663960726,Purine metabolism
MAR04489,0,1.663960726,Purine metabolism
MAR04492,0,0.248197688,Purine metabolism
MAR04493,0,0.248197688,Purine metabolism
MAR04495,0,0.01,Purine metabolism
MAR04496,0,0.01,Purine metabolism
MAR04518,0,0.814278694,Purine metabolism
MAR04519,0,0.836007303,Purine metabolism
MAR04520,0,0.056430737,Purine metabolism
MAR04573,0,1000,Purine metabolism
MAR04574,-0.147743403,0.816423969,Purine metabolism
MAR04600,0,0.83063286,Purine metabolism
MAR04602,0,0.814365243,Purine metabolism
MAR04603,-0.81436583,0.83063286,Purine metabolism
MAR04611,0,1000,Purine metabolism
MAR04612,0,1000,Purine metabolism
MAR04614,0,999.9986975,Purine metabolism
MAR04615,0,999.9986975,Purine metabolism
MAR04617,0,0.059652803,Purine metabolism
MAR04618,0,1.629140587,Purine metabolism
MAR04619,0,0.059652803,Purine metabolism
MAR04621,0,1.629140587,Purine metabolism
MAR04632,0,0.814365243,Purine metabolism
MAR04646,0,0.132326682,Purine metabolism
MAR04648,0,0.047748184,Purine metabolism
MAR04649,0,0.047748184,Purine metabolism
MAR04650,0,0.027468969,Purine metabolism
MAR04651,-0.118225944,1000,Purine metabolism
MAR04663,0,0.814278694,Purine metabolism
MAR04664,0,0.815969974,Purine metabolism
MAR04694,0,0.401812985,Purine metabolism
MAR04695,-0.814373804,0.832785748,Purine metabolism
MAR04705,0,0.814286306,Purine metabolism
MAR04709,-0.411813534,0.128897553,Purine metabolism
MAR04799,0,0.131288424,Purine metabolism
MAR04802,0,0.131288424,Purine metabolism
MAR04804,-0.131296433,0,Purine metabolism
MAR04808,0,0.131287809,Purine metabolism
MAR04810,0,0.131287809,Purine metabolism
MAR04812,-0.131287768,0,Purine metabolism
MAR04814,0,0.131288443,Purine metabolism
MAR05301,0,1.628571315,Purine metabolism
MAR05353,-0.83063294,0.814372207,Purine metabolism
MAR06602,0,0,Purine metabolism
MAR06603,0,0,Purine metabolism
MAR07144,0,0.407142829,Purine metabolism
MAR08755,0,0.047748165,Purine metabolism
MAR04016,-1000,1000,Purine metabolism
MAR04018,-1000,1000,Purine metabolism
MAR04044,-1000,1000,Purine metabolism
MAR04291,-1000,1000,Purine metabolism
MAR04420,0,1000,Purine metabolism
MAR04570,-1000,1000,Purine metabolism
MAR04572,0,1000,Purine metabolism
MAR04006,-1000,1000,Pyrimidine metabolism
MAR04028,-1000,1000,Pyrimidine metabolism
MAR04030,-1000,-0.001944,Pyrimidine metabolism
MAR04670,-1000,1000,Pyrimidine metabolism
MAR04673,-3.257141423,1.629141484,Pyrimidine metabolism
MAR04675,0,1.628558284,Pyrimidine metabolism
MAR06614,-1000,1000,Pyrimidine metabolism
MAR06615,-1000,1000,Pyrimidine metabolism
MAR06616,-1000,1000,Pyrimidine metabolism
MAR04635,-1000,1000,Pyrimidine metabolism
MAR03931,0,1000,Pyrimidine metabolism
MAR03970,0,0.814279142,Pyrimidine metabolism
MAR04008,-1000,1000,Pyrimidine metabolism
MAR04032,0,0.05994441,Pyrimidine metabolism
MAR04034,0.00143856,0.068756782,Pyrimidine metabolism
MAR04036,0.00143856,0.068756782,Pyrimidine metabolism
MAR04050,-0.068756903,-0.00143856,Pyrimidine metabolism
MAR04056,0,0.814280059,Pyrimidine metabolism
MAR04059,0,0.132935551,Pyrimidine metabolism
MAR04060,0,0,Pyrimidine metabolism
MAR04127,0,0.814278694,Pyrimidine metabolism
MAR04177,0,0.814278694,Pyrimidine metabolism
MAR04179,0,0,Pyrimidine metabolism
MAR04182,0,0.814278694,Pyrimidine metabolism
MAR04183,0,0,Pyrimidine metabolism
MAR04192,0,0,Pyrimidine metabolism
MAR04194,0,0.059944408,Pyrimidine metabolism
MAR04210,0,1000,Pyrimidine metabolism
MAR04211,0,0,Pyrimidine metabolism
MAR04343,0,1.62857404,Pyrimidine metabolism
MAR04345,0,0,Pyrimidine metabolism
MAR04346,0,0,Pyrimidine metabolism
MAR04484,0,1.62857404,Pyrimidine metabolism
MAR04485,-0.063433522,0,Pyrimidine metabolism
MAR04510,0,0.059264654,Pyrimidine metabolism
MAR04512,-1000,1000,Pyrimidine metabolism
MAR04577,-0.068766096,-0.00143856,Pyrimidine metabolism
MAR04579,-0.814438386,1.628731613,Pyrimidine metabolism
MAR04608,-0.068757774,-0.00143856,Pyrimidine metabolism
MAR04575,0.00143856,0.06876324,Pyrimidine metabolism
MAR04637,-0.735125331,999.9994168,Pyrimidine metabolism
MAR04642,0,0.814365243,Pyrimidine metabolism
MAR04643,0,0.814278694,Pyrimidine metabolism
MAR04644,0.0005832,0.067901414,Pyrimidine metabolism
MAR04676,0,0.814278696,Pyrimidine metabolism
MAR05299,0,1.628557392,Pyrimidine metabolism
MAR05352,0,1.628557392,Pyrimidine metabolism
MAR06612,-1000,1000,Pyrimidine metabolism
MAR06621,0,1.628745287,Pyrimidine metabolism
MAR06624,0,1.628745287,Pyrimidine metabolism
MAR06627,-1000,4.041812601,Pyrimidine metabolism
MAR08072,0,0.814371127,Pyrimidine metabolism
MAR03966,0,0.814371127,Nucleotide metabolism
MAR03967,-1000,1000,Nucleotide metabolism
MAR03968,0.0005832,0.815021419,Nucleotide metabolism
MAR03999,0,0.407175835,Nucleotide metabolism
MAR04024,-1000,1000,Nucleotide metabolism
MAR04026,-0.815743021,0,Nucleotide metabolism
MAR04061,0,0,Nucleotide metabolism
MAR04083,0,1000,Nucleotide metabolism
MAR04136,0,0,Nucleotide metabolism
MAR04180,0,0.81435167,Nucleotide metabolism
MAR04185,0,0.407175835,Nucleotide metabolism
MAR04186,0,0.81435167,Nucleotide metabolism
MAR04342,0,0.01,Nucleotide metabolism
MAR04483,0,1.62870334,Nucleotide metabolism
MAR04516,0,0.81435167,Nucleotide metabolism
MAR04601,0,0.830705836,Nucleotide metabolism
MAR04633,0,0.830705836,Nucleotide metabolism
MAR04640,0,0.81435167,Nucleotide metabolism
MAR04680,-0.81439182,0.061063923,Nucleotide metabolism
MAR04806,0,0.131287768,Nucleotide metabolism
MAR06625,0,1.628557387,Nucleotide metabolism
MAR06626,0,1.628557387,Nucleotide metabolism
MAR07160,0.001944,0.816222694,Nucleotide metabolism
MAR07161,0,0.815250694,Nucleotide metabolism
MAR07162,0,0.815250694,Nucleotide metabolism
MAR07163,0,0.814278694,Nucleotide metabolism
MAR07164,0,0.814278694,Nucleotide metabolism
MAR07713,0,0.814278694,Nucleotide metabolism
MAR07716,0,0.814278694,Nucleotide metabolism
MAR07717,0,1.628557387,Nucleotide metabolism
MAR07721,0,0.814278694,Nucleotide metabolism
MAR07725,0,0.814278694,Nucleotide metabolism
MAR07728,0,0.814278694,Nucleotide metabolism
MAR07801,-1000,1000,Nucleotide metabolism
MAR07863,-1000,1000,Nucleotide metabolism
MAR07864,-1000,1000,Nucleotide metabolism
MAR07865,-1000,1000,Nucleotide metabolism
MAR07866,-1000,1000,Nucleotide metabolism
MAR07867,-1000,1000,Nucleotide metabolism
MAR07868,-1000,1000,Nucleotide metabolism
MAR07869,-1000,1000,Nucleotide metabolism
MAR07870,-1000,1000,Nucleotide metabolism
MAR07871,-1000,1000,Nucleotide metabolism
MAR07872,-1000,1000,Nucleotide metabolism
MAR07873,-1000,1000,Nucleotide metabolism
MAR07874,-1000,1000,Nucleotide metabolism
MAR07875,0,1.628756294,Nucleotide metabolism
MAR07876,-1000,1000,Nucleotide metabolism
MAR07878,0,0,Nucleotide metabolism
MAR07879,0,0.01,Nucleotide metabolism
MAR07880,0,0.01,Nucleotide metabolism
MAR07881,0,0,Nucleotide metabolism
MAR07882,-1000,1000,Nucleotide metabolism
MAR07883,0,1.628756294,Nucleotide metabolism
MAR07884,-1000,1000,Nucleotide metabolism
MAR07885,-1000,1000,Nucleotide metabolism
MAR07886,-1000,1000,Nucleotide metabolism
MAR07887,-1000,1000,Nucleotide metabolism
MAR07888,-1000,1000,Nucleotide metabolism
MAR07889,0,0,Nucleotide metabolism
MAR07890,0,1000,Nucleotide metabolism
MAR07891,-1000,1000,Nucleotide metabolism
MAR07892,-1000,1000,Nucleotide metabolism
MAR07893,0,0,Nucleotide metabolism
MAR08083,0,0.814302679,Nucleotide metabolism
MAR08085,0,0.814302679,Nucleotide metabolism
MAR08087,0,0.814302679,Nucleotide metabolism
MAR08443,0,0,Nucleotide metabolism
MAR08444,0,0,Nucleotide metabolism
MAR08445,0,0.814302679,Nucleotide metabolism
MAR08448,-1000,1000,Nucleotide metabolism
MAR08449,-1000,1000,Nucleotide metabolism
MAR08450,-1000,1000,Nucleotide metabolism
MAR08451,-1000,1000,Nucleotide metabolism
MAR08452,-1000,1000,Nucleotide metabolism
MAR08453,-1000,1000,Nucleotide metabolism
MAR08454,-1000,1000,Nucleotide metabolism
MAR08455,-1000,1000,Nucleotide metabolism
MAR08456,-1000,1000,Nucleotide metabolism
MAR08457,-1000,1000,Nucleotide metabolism
MAR08458,-1000,1000,Nucleotide metabolism
MAR08459,-1000,1000,Nucleotide metabolism
MAR08460,-1000,1000,Nucleotide metabolism
MAR08462,-1000,1000,Nucleotide metabolism
MAR08463,-1000,1000,Nucleotide metabolism
MAR08464,-1000,1000,Nucleotide metabolism
MAR08465,-1000,1000,Nucleotide metabolism
MAR08466,-1000,1000,Nucleotide metabolism
MAR08467,-1000,1000,Nucleotide metabolism
MAR08468,-1000,1000,Nucleotide metabolism
MAR08469,-1000,1000,Nucleotide metabolism
MAR08470,-1000,1000,Nucleotide metabolism
MAR08471,-1000,1000,Nucleotide metabolism
MAR08472,-1000,1000,Nucleotide metabolism
MAR08473,0,0.401808985,Nucleotide metabolism
MAR08474,0,0.271426231,Nucleotide metabolism
MAR08482,0,1000,Nucleotide metabolism
MAR08485,0,0.92315999,Nucleotide metabolism
MAR08486,-1000,1.645361387,Nucleotide metabolism
MAR08487,0,0,Nucleotide metabolism
MAR08488,0,0,Nucleotide metabolism
MAR08489,0,0.01,Nucleotide metabolism
MAR03802,-1000,1000,"Alanine, aspartate and glutamate metabolism"
MAR03804,-1000,1000,"Alanine, aspartate and glutamate metabolism"
MAR03811,0.002596957,0.39627297,"Alanine, aspartate and glutamate metabolism"
MAR03813,-0.39627297,-0.002596887,"Alanine, aspartate and glutamate metabolism"
MAR03827,-0.676675586,0.021355047,"Alanine, aspartate and glutamate metabolism"
MAR03831,0,0.697625235,"Alanine, aspartate and glutamate metabolism"
MAR03865,0,0.027305404,"Alanine, aspartate and glutamate metabolism"
MAR03870,0,0.046362663,"Alanine, aspartate and glutamate metabolism"
MAR03890,0,0.814292451,"Alanine, aspartate and glutamate metabolism"
MAR03892,0,0,"Alanine, aspartate and glutamate metabolism"
MAR03899,-1.558112218,0.791653245,"Alanine, aspartate and glutamate metabolism"
MAR04109,-0.021354576,0.063433103,"Alanine, aspartate and glutamate metabolism"
MAR04114,0,1.025012192,"Alanine, aspartate and glutamate metabolism"
MAR04115,0,0,"Alanine, aspartate and glutamate metabolism"
MAR04118,0,0.058695242,"Alanine, aspartate and glutamate metabolism"
MAR04196,0,1.025014527,"Alanine, aspartate and glutamate metabolism"
MAR04197,0,0,"Alanine, aspartate and glutamate metabolism"
MAR04287,0,0.020887504,"Alanine, aspartate and glutamate metabolism"
MAR04693,0,0.020887504,"Alanine, aspartate and glutamate metabolism"
MAR06780,0.000972,0.001080643,"Alanine, aspartate and glutamate metabolism"
MAR06970,0,0,"Alanine, aspartate and glutamate metabolism"
MAR07642,-1.575173616,0.01,"Alanine, aspartate and glutamate metabolism"
MAR03807,0,0,Arginine and proline metabolism
MAR03833,0,0.006704922,Arginine and proline metabolism
MAR03835,0,0.006704922,Arginine and proline metabolism
MAR03837,0,0.080962891,Arginine and proline metabolism
MAR03838,-0.080962936,0,Arginine and proline metabolism
MAR03956,0,1.915035378,Arginine and proline metabolism
MAR04073,0,0.021155439,Arginine and proline metabolism
MAR04075,0,0.01396392,Arginine and proline metabolism
MAR04077,0,0.017855491,Arginine and proline metabolism
MAR04212,0,0.017243256,Arginine and proline metabolism
MAR04422,0,0.017243256,Arginine and proline metabolism
MAR04583,-0.007243256,0,Arginine and proline metabolism
MAR04606,0,0.814286231,Histidine metabolism
MAR04607,0,0.814286231,Histidine metabolism
MAR04776,0,0.021354796,Arginine and proline metabolism
MAR04777,0,0,Arginine and proline metabolism
MAR04778,0,0.029744966,Arginine and proline metabolism
MAR04779,0,0,Arginine and proline metabolism
MAR04780,0,0.029752289,Arginine and proline metabolism
MAR04781,0,0,Arginine and proline metabolism
MAR04784,0,0.029752289,Arginine and proline metabolism
MAR04786,0,0.029752289,Arginine and proline metabolism
MAR05384,0,0.021155145,Arginine and proline metabolism
MAR06938,-0.013963803,0,Arginine and proline metabolism
MAR06965,-0.012483246,0.05870337,Arginine and proline metabolism
MAR06966,-0.012483246,0.05870337,Arginine and proline metabolism
MAR08098,0,0.021357542,Arginine and proline metabolism
MAR08427,0,0,Arginine and proline metabolism
MAR08603,0,0,Arginine and proline metabolism
MAR08604,0,0,Arginine and proline metabolism
MAR08605,0,0,Arginine and proline metabolism
MAR08609,0,0.080974137,Arginine and proline metabolism
MAR08610,0,0.006711111,Arginine and proline metabolism
MAR03752,-0.007168296,1000,"Glycine, serine and threonine metabolism"
MAR03770,-1000,1000,"Glycine, serine and threonine metabolism"
MAR03784,-1000,1000,"Glycine, serine and threonine metabolism"
MAR03839,0,0.621276721,"Glycine, serine and threonine metabolism"
MAR03841,0,0.621276721,"Glycine, serine and threonine metabolism"
MAR03843,0,0.621276721,"Glycine, serine and threonine metabolism"
MAR03883,0,0.53628082,"Glycine, serine and threonine metabolism"
MAR03939,-0.36516272,0,"Glycine, serine and threonine metabolism"
MAR03974,0,0.53628082,"Glycine, serine and threonine metabolism"
MAR04198,0,0.353112923,"Glycine, serine and threonine metabolism"
MAR04200,0,0.53628082,"Glycine, serine and threonine metabolism"
MAR04582,0,0.007243256,"Glycine, serine and threonine metabolism"
MAR04584,0,0,"Glycine, serine and threonine metabolism"
MAR04696,0,0,"Glycine, serine and threonine metabolism"
MAR04697,0,0,"Glycine, serine and threonine metabolism"
MAR04698,0,0,"Glycine, serine and threonine metabolism"
MAR04742,0,0.365146605,"Glycine, serine and threonine metabolism"
MAR04792,-0.410119972,0,"Glycine, serine and threonine metabolism"
MAR05392,0,0.135724599,"Glycine, serine and threonine metabolism"
MAR05393,0,0.135724599,"Glycine, serine and threonine metabolism"
MAR06409,-3.568862874,0,"Glycine, serine and threonine metabolism"
MAR07702,-0.358114805,0,"Glycine, serine and threonine metabolism"
MAR08433,0,0.294891496,"Glycine, serine and threonine metabolism"
MAR08434,0,0.294891496,"Glycine, serine and threonine metabolism"
MAR08435,0,0.294891496,"Glycine, serine and threonine metabolism"
MAR08436,0,0.294891496,"Glycine, serine and threonine metabolism"
MAR08437,-0.294882617,0,"Glycine, serine and threonine metabolism"
MAR08440,0,0,"Glycine, serine and threonine metabolism"
MAR08441,0,0,"Glycine, serine and threonine metabolism"
MAR04428,0,0.030310259,Histidine metabolism
MAR04429,0,0,Histidine metabolism
MAR04430,0,0,Histidine metabolism
MAR04431,0,0,Histidine metabolism
MAR05338,0,1.532831099,Histidine metabolism
MAR05339,0,1.5328311,Histidine metabolism
MAR08783,0,0,Histidine metabolism
MAR08784,0,0,Histidine metabolism
MAR04239,0,0.062242589,Lysine metabolism
MAR04288,0,0.062242589,Lysine metabolism
MAR04597,-0.062242579,0,Lysine metabolism
MAR04599,0,0.062242579,Lysine metabolism
MAR04668,0,0.062242579,Lysine metabolism
MAR04737,0,0.062242579,Lysine metabolism
MAR04739,0,0.062242579,Lysine metabolism
MAR06415,0,0.062242579,Lysine metabolism
MAR06974,0,0.011209112,Lysine metabolism
MAR06975,0,0.011209112,Lysine metabolism
MAR06976,0,0.011209112,Lysine metabolism
MAR06977,0,0.011209112,Lysine metabolism
MAR06978,0,0.011209112,Lysine metabolism
MAR06979,0.000972,0.011209112,Lysine metabolism
MAR06980,0.000972,0.011209112,Lysine metabolism
MAR06981,0.000972,0.011209112,Lysine metabolism
MAR06982,0.000972,0.011209112,Lysine metabolism
MAR08025,0,0.01,Lysine metabolism
MAR08026,0,0.01,Lysine metabolism
MAR08027,0,0.01,Lysine metabolism
MAR08029,0,0.01,Lysine metabolism
MAR03164,0,0.065214443,Tryptophan metabolism
MAR03166,0,0.065214443,Tryptophan metabolism
MAR03885,0,0.531652516,Tryptophan metabolism
MAR08091,0,0,Tryptophan metabolism
MAR08092,0,0,Tryptophan metabolism
MAR08563,0,0.015494102,Tryptophan metabolism
MAR03935,-1000,1000,Tyrosine metabolism
MAR04681,0,0,Tyrosine metabolism
MAR04682,0,0,Tyrosine metabolism
MAR04683,0,1000,Tyrosine metabolism
MAR04685,0,1000,Tyrosine metabolism
MAR04686,0,1000,Tyrosine metabolism
MAR04687,0,1000,Tyrosine metabolism
MAR08530,-1000,1000,Tyrosine metabolism
MAR08542,0,0,Tyrosine metabolism
MAR03206,0,0.068970861,"Valine, leucine, and isoleucine metabolism"
MAR03208,0,1.628557387,"Valine, leucine, and isoleucine metabolism"
MAR03211,0,0.047104597,"Valine, leucine, and isoleucine metabolism"
MAR03213,0,0.048092679,"Valine, leucine, and isoleucine metabolism"
MAR03215,0,0.048092679,"Valine, leucine, and isoleucine metabolism"
MAR03744,0,0,"Valine, leucine, and isoleucine metabolism"
MAR03757,0,0.007168296,"Valine, leucine, and isoleucine metabolism"
MAR03761,0,0.036587158,"Valine, leucine, and isoleucine metabolism"
MAR03778,0,0.068970861,"Valine, leucine, and isoleucine metabolism"
MAR03795,0,0.063433103,"Valine, leucine, and isoleucine metabolism"
MAR04797,0,0.036587158,"Valine, leucine, and isoleucine metabolism"
MAR06417,0,0,"Valine, leucine, and isoleucine metabolism"
MAR06419,0,0.068970861,"Valine, leucine, and isoleucine metabolism"
