"","ReactionID","Flux","ReactionName","Subsystem","Equation"
"105","MAR08506",0,"LCADim","Pyruvate metabolism","H2O[m] + lactaldehyde[m] + NAD+[m] => 2 H+[m] + L-lactate[m] + NADH[m]"
"106","MAR08507",0,"ALCD21_D;PPDOx","Pyruvate metabolism","NAD+[c] + propane-1,2-diol[c] => D-lactaldehyde[c] + H+[c] + NADH[c]"
"107","MAR08508",0,"ALCD21_L","Pyruvate metabolism","NAD+[c] + propane-1,2-diol[c] => H+[c] + lactaldehyde[c] + NADH[c]"
"108","MAR08509",0,"PPDOy","Pyruvate metabolism","D-lactaldehyde[c] + H+[c] + NADPH[c] => NADP+[c] + propane-1,2-diol[c]"
"109","MAR08511",0,"GLYOXm","Pyruvate metabolism","(R)-S-lactoylglutathione[m] + H2O[m] => D-lactate[m] + GSH[m] + H+[m]"
"110","MAR08514",0,"L_LACDcm","Pyruvate metabolism","2 ferricytochrome C[m] + L-lactate[c] => 2 ferrocytochrome C[m] + 2 H+[c] + pyruvate[c]"
"111","MAR08516",0,"MGSA","Pyruvate metabolism","DHAP[c] => methylglyoxal[c] + Pi[c]"
"112","MAR04280",-0.707195732676613,"LDH_Lm","Pyruvate metabolism","H+[m] + NADH[m] + pyruvate[m] <=> L-lactate[m] + NAD+[m]"
"113","MAR00153",0,"ACS2","Propanoate metabolism","ATP[c] + CoA[c] + propanoate[c] => AMP[c] + PPi[c] + propanoyl-CoA[c]"
"114","MAR03212",0,"PPCOAOm","Propanoate metabolism","FAD[m] + propanoyl-CoA[m] => acrylyl-CoA[m] + FADH2[m]"
"115","MAR03797",0,"ACCOALm","Propanoate metabolism","AMP[m] + PPi[m] + propanoyl-CoA[m] <=> ATP[m] + CoA[m] + propanoate[m]"
"116","MAR03800",0,"r1154","Propanoate metabolism","2-oxobutyrate[m] + CoA[m] + NAD+[m] => CO2[m] + NADH[m] + propanoyl-CoA[m]"
"117","MAR04105",0,"MCD","Propanoate metabolism","H+[c] + malonyl-CoA[c] => acetyl-CoA[c] + CO2[c]"
"118","MAR04106",0,"MCDm","Propanoate metabolism","H+[m] + malonyl-CoA[m] => acetyl-CoA[m] + CO2[m]"
"119","MAR04107",0,"MCDp","Propanoate metabolism","H+[p] + malonyl-CoA[p] => acetyl-CoA[p] + CO2[p]"
"120","MAR04282",0,"MMSAD3m","Propanoate metabolism","3-oxopropanoate[m] + CoA[m] + NAD+[m] => acetyl-CoA[m] + CO2[m] + NADH[m]"
"121","MAR04331",0,"r0220","Propanoate metabolism","AMP[c] + H+[c] + propanoyl-CoA[c] <=> CoA[c] + propinol adenylate[c]"
"122","MAR04459",0,"r0318","Propanoate metabolism","ATP[c] + H+[c] + propanoate[c] => PPi[c] + propinol adenylate[c]"
"123","MAR04460",0,"r0319","Propanoate metabolism","ATP[m] + H+[m] + propanoate[m] <=> PPi[m] + propinol adenylate[m]"
"124","MAR04497",0,"r0365","Propanoate metabolism","hydracrylate[m] + NAD+[m] => 3-oxopropanoate[m] + H+[m] + NADH[m]"
"125","MAR04741",0,"r0596","Propanoate metabolism","3-hydroxypropionyl-CoA[m] + H2O[m] => CoA[m] + H+[m] + hydracrylate[m]"
"126","MAR09804",0,"HMR_9804","Propanoate metabolism","3-hydroxypropionyl-CoA[m] + NADP+[m] <=> H+[m] + NADPH[m] + 3-oxopropionyl-CoA[m]"
"127","MAR01434",0,"ACACT1r","Butanoate metabolism","acetoacetyl-CoA[c] + CoA[c] <=> 2 acetyl-CoA[c]"
"128","MAR01436",0,"AACOAT","Butanoate metabolism","acetoacetate[c] + ATP[c] + CoA[c] => acetoacetyl-CoA[c] + AMP[c] + PPi[c]"
"129","MAR03163",0,"ACOAD1fm","Butanoate metabolism","butyryl-CoA[m] + FAD[m] => crotonyl-CoA[m] + FADH2[m]"
"130","MAR04604",6.96248897380514e-06,"r0463","Butanoate metabolism","acetoacetyl-CoA[p] + acetyl-CoA[p] + H2O[p] => CoA[p] + H+[p] + HMG-CoA[p]"
"131","MAR05351",1,"2HBO","Butanoate metabolism","2-hydroxybutyrate[c] + NAD+[c] <=> 2-oxobutyrate[c] + H+[c] + NADH[c]"
"132","MAR04052",0,"PRPPS","Pentose phosphate pathway","ATP[c] + ribose-5-phosphate[c] => AMP[c] + H+[c] + PRPP[c]"
"133","MAR04304",6.91344684922067e-05,"G6PDH2rer","Pentose phosphate pathway","glucose-6-phosphate[r] + NADP+[r] => glucono-1,5-lactone-6-phosphate[r] + H+[r] + NADPH[r]"
"134","MAR04306",0,"G6PDH2r","Pentose phosphate pathway","glucono-1,5-lactone-6-phosphate[c] + H+[c] + NADPH[c] <=> glucose-6-phosphate[c] + NADP+[c]"
"135","MAR04350",0,"RBK","Pentose phosphate pathway","ADP[c] + H+[c] + ribose-5-phosphate[c] <=> ATP[c] + ribose[c]"
"136","MAR04351",-0.00341211001833993,"r0249","Pentose phosphate pathway","ribose-5-phosphate[r] <=> ribulose-5-phosphate[r]"
"137","MAR04352",0.356170391810758,"RPI","Pentose phosphate pathway","ribose-5-phosphate[c] <=> ribulose-5-phosphate[c]"
"138","MAR04354",0.518267481989121,"PPM","Pentose phosphate pathway","ribose-1-phosphate[c] <=> ribose-5-phosphate[c]"
"139","MAR04398",1,"DRPA","Pentose phosphate pathway","2-deoxy-D-ribose-5-phosphate[c] <=> acetaldehyde[c] + GAP[c]"
"140","MAR04404",0.178085195905379,"TKT2","Pentose phosphate pathway","D-xylulose-5-phosphate[c] + erythrose-4-phosphate[c] <=> fructose-6-phosphate[c] + GAP[c]"
"141","MAR04473",0.00341211001833993,"GNDer","Pentose phosphate pathway","6-phospho-D-gluconate[r] + NADP+[r] => CO2[r] + NADPH[r] + ribulose-5-phosphate[r]"
"142","MAR04474",0,"GND","Pentose phosphate pathway","6-phospho-D-gluconate[c] + NADP+[c] => CO2[c] + NADPH[c] + ribulose-5-phosphate[c]"
"143","MAR04476",0,"RE0124C","Pentose phosphate pathway","6-phospho-D-gluconate[c] + ADP[c] + H+[c] <=> ATP[c] + D-gluconic acid[c]"
"144","MAR04477",0,"RPE","Pentose phosphate pathway","D-xylulose-5-phosphate[c] <=> ribulose-5-phosphate[c]"
"145","MAR04501",0.178085195905379,"TKT1","Pentose phosphate pathway","D-xylulose-5-phosphate[c] + ribose-5-phosphate[c] <=> GAP[c] + sedoheptulose-7-phosphate[c]"
"146","MAR04565",0.178085195905379,"TALA","Pentose phosphate pathway","GAP[c] + sedoheptulose-7-phosphate[c] <=> erythrose-4-phosphate[c] + fructose-6-phosphate[c]"
"147","MAR04567",0,"r0408","Pentose phosphate pathway","ADP[c] + H+[c] + sedoheptulose-1,7-bisphosphate[c] <=> ATP[c] + sedoheptulose-7-phosphate[c]"
"148","MAR04568",0,"r0409","Pentose phosphate pathway","H+[c] + sedoheptulose-1,7-bisphosphate[c] + UDP[c] <=> sedoheptulose-7-phosphate[c] + UTP[c]"
"149","MAR04623",0.000721867809773232,"PGLer","Pentose phosphate pathway","glucono-1,5-lactone-6-phosphate[r] + H2O[r] => 6-phospho-D-gluconate[r] + H+[r]"
"150","MAR04625",0.00269024220856669,"PGL","Pentose phosphate pathway","glucono-1,5-lactone-6-phosphate[c] + H2O[c] => 6-phospho-D-gluconate[c] + H+[c]"
"151","MAR04710",1,"r0570","Pentose phosphate pathway","2-deoxy-D-ribose-1-phosphate[c] <=> 2-deoxy-D-ribose-5-phosphate[c]"
"152","MAR04841",0,"r0796","Pentose phosphate pathway","H+[c] + NADH[c] + ribose[c] <=> NAD+[c] + ribitol[c]"
"153","MAR08074",0,"DRBK","Pentose phosphate pathway","ATP[c] + deoxyribose[c] => 2-deoxy-D-ribose-5-phosphate[c] + ADP[c] + H+[c]"
"154","MAR08653",-0.000652733341281025,"G6PDH1rer","Pentose phosphate pathway","glucono-1,5-lactone-6-phosphate[r] + H+[r] + NADH[r] <=> glucose-6-phosphate[r] + NAD+[r]"
"155","MAR03998",0,"r0028","Purine metabolism","ADP[c] + H2O[c] => AMP[c] + H+[c] + Pi[c]"
"156","MAR04000",0,"ADNCYC","Purine metabolism","ATP[c] => cAMP[c] + PPi[c]"
"157","MAR04002",-0.971376567180096,"ADK1","Purine metabolism","2 ADP[c] <=> AMP[c] + ATP[c]"
"158","MAR04004",-0.00217577780427008,"ADK1m","Purine metabolism","2 ADP[m] <=> AMP[m] + ATP[m]"
"159","MAR04010",0,"NTD7","Purine metabolism","AMP[c] + H2O[c] => adenosine[c] + Pi[c]"
"160","MAR04081",0,"NTD7e","Purine metabolism","AMP[s] + H2O[s] => adenosine[s] + Pi[s]"
"161","MAR04082",0,"r0047","Purine metabolism","AMP[m] + H2O[m] => adenosine[m] + Pi[m]"
"162","MAR04012",0,"ADNK1","Purine metabolism","adenosine[c] + ATP[c] => ADP[c] + AMP[c] + H+[c]"
"163","MAR04014",0,"PDE1","Purine metabolism","cAMP[c] + H2O[c] => AMP[c] + H+[c]"
"164","MAR04020",-0.52205333536855,"GK1","Purine metabolism","ADP[c] + GDP[c] <=> ATP[c] + GMP[c]"
"165","MAR04022",0,"GUACYC","Purine metabolism","GTP[c] => cGMP[c] + PPi[c]"
"166","MAR04038",0,"IMPC","Purine metabolism","FAICAR[c] <=> H2O[c] + IMP[c]"
"167","MAR04040",0,"IMPD","Purine metabolism","H2O[c] + IMP[c] + NAD+[c] => H+[c] + NADH[c] + xanthosine-5-phosphate[c]"
"168","MAR04042",0,"ADSS","Purine metabolism","aspartate[c] + GTP[c] + IMP[c] => adenylosuccinate[c] + GDP[c] + 2 H+[c] + Pi[c]"
"169","MAR04046",0,"GMPS2","Purine metabolism","ATP[c] + glutamine[c] + H2O[c] + xanthosine-5-phosphate[c] => AMP[c] + glutamate[c] + GMP[c] + 2 H+[c] + PPi[c]"
"170","MAR04048",0,"PDE4","Purine metabolism","cGMP[c] + H2O[c] => GMP[c] + H+[c]"
"171","MAR04080",0,"AMPDA","Purine metabolism","AMP[c] + H2O[c] => IMP[c] + NH3[c]"
"172","MAR04085",0,"ADPT","Purine metabolism","AMP[c] + PPi[c] <=> adenine[c] + PRPP[c]"
"173","MAR04086",0,"r0051","Purine metabolism","AMP[s] + PPi[s] <=> adenine[s] + PRPP[s]"
"174","MAR04134",0,"NDP3ex","Purine metabolism","GDP[s] + H2O[s] => GMP[s] + H+[s] + Pi[s]"
"175","MAR04135",0.518267481989121,"GK1m","Purine metabolism","ADP[m] + GDP[m] <=> ATP[m] + GMP[m]"
"176","MAR04168",0,"r0119","Purine metabolism","GTP[c] + H2O[c] => GMP[c] + H+[c] + PPi[c]"
"177","MAR04171",0.00496077339373577,"r0122","Purine metabolism","GDP[c] + H+[c] + PEP[c] => GTP[c] + pyruvate[c]"
"178","MAR04290",0,"r0181","Purine metabolism","H2O[s] + ITP[s] => H+[s] + IDP[s] + Pi[s]"
"179","MAR04406",0,"GLUPRT","Purine metabolism","glutamine[c] + H2O[c] + PRPP[c] => 5-phosphoribosylamine[c] + glutamate[c] + PPi[c]"
"180","MAR04412",0,"ADSL1","Purine metabolism","AMP[c] + fumarate[c] <=> adenylosuccinate[c]"
"181","MAR04417",0,"NTD11","Purine metabolism","H2O[c] + IMP[c] => inosine[c] + Pi[c]"
"182","MAR04418",1.52431614428499,"HXPRT","Purine metabolism","IMP[c] + PPi[c] <=> hypoxanthine[c] + PRPP[c]"
"183","MAR04419",0.99621414662057,"GMPR;r0276","Purine metabolism","GMP[c] + H+[c] + NADPH[c] => IMP[c] + NADP+[c] + NH3[c]"
"184","MAR04421",0.525665144212074,"r0280","Purine metabolism","dADP[c] + H+[c] + PEP[c] => dATP[c] + pyruvate[c]"
"185","MAR04449",0,"NTD9","Purine metabolism","GMP[c] + H2O[c] => guanosine[c] + Pi[c]"
"186","MAR04450",0,"NTD9e","Purine metabolism","GMP[s] + H2O[s] => guanosine[s] + Pi[s]"
